epoch,step,batch_id,avg_cost,val_reward,lr,reinforce_loss,grad_norm,epoch_time
0,16,-1,0,42.80009078979492,0.0001,0,0,00:00:35
1,32,-1,0,42.67743682861328,0.0001,0,0,00:00:42
2,48,-1,0,42.770599365234375,0.0001,0,0,00:00:55
3,64,-1,0,42.62088394165039,0.0001,0,0,00:01:35
4,80,-1,0,42.55384063720703,0.0001,0,0,00:00:53
5,96,-1,0,42.639530181884766,0.0001,0,0,00:00:42
6,112,-1,0,42.44083786010742,0.0001,0,0,00:00:42
7,128,-1,0,42.551971435546875,0.0001,0,0,00:00:42
8,144,-1,0,42.61393737792969,0.0001,0,0,00:00:42
9,160,-1,0,42.61711120605469,0.0001,0,0,00:00:43
